peer,KPI,sort,average,Product,Value,Rank,group,Hierarchy1,last,Code
All products,Product Satisfaction,10,6.337424192,Microsoft Excel,2.409194388,23,2,,,
All products,Product Satisfaction,10,6.337424192,Microsoft Power BI,5.839958309,16,2,,,
All products,Product Satisfaction,10,6.337424192,MicroStrategy,6.666627548,9,2,,,
All products,Product Satisfaction,10,6.337424192,Oracle Analytics Cloud,5.192242866,18,2,,,
All products,Product Satisfaction,10,6.337424192,Phocas,10,1,2,,,
All products,Product Satisfaction,10,6.337424192,Pyramid,6.514643771,11,2,,,
All products,Product Satisfaction,10,6.337424192,Qlik Sense,6.524879072,10,2,,,
All products,Product Satisfaction,10,6.337424192,QlikView,5.038905262,20,2,,,
All products,Product Satisfaction,10,6.337424192,Report One,5.347159101,17,2,,,
All products,Product Satisfaction,10,6.337424192,SAP Analytics Cloud,4.977761087,21,2,,,
All products,Product Satisfaction,10,6.337424192,SAP BO BI,3.94479586,22,2,,,
All products,Product Satisfaction,10,6.337424192,Serviceware Perf.,6.23624358,13,2,,,
All products,Product Satisfaction,10,6.337424192,Tableau,5.85027968,15,2,,,
All products,Product Satisfaction,10,6.337424192,TARGIT,8.820850753,4,2,,,
All products,Product Satisfaction,10,6.337424192,Zoho Analytics,6.103672061,14,2,,,
All products,Functionality,11,6.46179118,Bissantz,7.577726694,8,1,,,
All products,Functionality,11,6.46179118,Domo,5.335081748,18,1,,,
All products,Functionality,11,6.46179118,Dundas,8.135473298,5,1,,,
All products,Functionality,11,6.46179118,Entrinsik,9.277355921,2,1,,,
All products,Functionality,11,6.46179118,IBM Cog. Analytics,4.96511724,21,1,,,
All products,Functionality,11,6.46179118,IBM Plan. Analytics,6.060409016,15,1,,,
All products,Functionality,11,6.46179118,InfoZoom,8.003116743,6,1,,,
All products,Functionality,11,6.46179118,Logi Analytics,6.285475455,13,1,,,
All products,Functionality,11,6.46179118,Looker,5.625654237,16,1,,,
All products,Functionality,11,6.46179118,Microsoft Excel,1.969099349,24,1,,,
All products,Functionality,11,6.46179118,Microsoft Power BI,6.131627067,14,1,,,
All products,Functionality,11,6.46179118,MicroStrategy,8.19608393,4,1,,,
All products,Functionality,11,6.46179118,Oracle Analytics Cloud,7.879150683,7,1,,,
All products,Functionality,11,6.46179118,Phocas,8.484237985,3,1,,,
All products,Functionality,11,6.46179118,Pyramid,9.334327011,1,1,,,
All products,Functionality,11,6.46179118,Qlik Sense,6.47671052,12,1,,,
All products,Functionality,11,6.46179118,QlikView,4.614977597,22,1,,,
All products,Functionality,11,6.46179118,Report One,5.280077311,20,1,,,
All products,Functionality,11,6.46179118,SAP Analytics Cloud,5.462195372,17,1,,,
All products,Functionality,11,6.46179118,SAP BO BI,3.690890922,23,1,,,
All products,Functionality,11,6.46179118,Serviceware Perf.,5.301909103,19,1,,,
All products,Functionality,11,6.46179118,Tableau,6.771823382,11,1,,,
All products,Functionality,11,6.46179118,TARGIT,6.84641084,10,1,,,
All products,Functionality,11,6.46179118,Zoho Analytics,7.378056902,9,1,,,
All products,Dashboards,12,7.268464593,Bissantz,7.527201545,13,2,,,
All products,Dashboards,12,7.268464593,Domo,8.687289269,9,2,,,
All products,Dashboards,12,7.268464593,Dundas,10,1,2,,,
All products,Dashboards,12,7.268464593,Entrinsik,9.637617209,3,2,,,
All products,Dashboards,12,7.268464593,IBM Cog. Analytics,4.325260904,22,2,,,
All products,Dashboards,12,7.268464593,IBM Plan. Analytics,5.458255285,20,2,,,
All products,Dashboards,12,7.268464593,InfoZoom,7.319603196,14,2,,,
All products,Dashboards,12,7.268464593,Logi Analytics,8.76933369,8,2,,,
All products,Dashboards,12,7.268464593,Looker,6.30800107,18,2,,,
All products,Dashboards,12,7.268464593,Microsoft Excel,1,24,2,,,
All products,Dashboards,12,7.268464593,Microsoft Power BI,7.975426762,11,2,,,
All products,Dashboards,12,7.268464593,MicroStrategy,9.013314183,6,2,,,
All products,Dashboards,12,7.268464593,Oracle Analytics Cloud,5.018731603,21,2,,,
All products,Dashboards,12,7.268464593,Phocas,9.837714333,2,2,,,
All products,Dashboards,12,7.268464593,Pyramid,9.296762109,5,2,,,
All products,Dashboards,12,7.268464593,Qlik Sense,8.806253679,7,2,,,
All products,Dashboards,12,7.268464593,QlikView,7.104637744,15,2,,,
All products,Dashboards,12,7.268464593,Report One,7.568914171,12,2,,,
All products,Dashboards,12,7.268464593,SAP Analytics Cloud,6.793570091,17,2,,,
All products,Dashboards,12,7.268464593,SAP BO BI,3.6209671,23,2,,,
All products,Dashboards,12,7.268464593,Serviceware Perf.,5.721969494,19,2,,,
